month_start,period,entity,region,department,actual_salary_opex,actual_non_salary_opex,actual_total_opex,budget_salary_opex,budget_non_salary_opex,budget_total_opex,salary_opex_variance,non_salary_opex_variance,total_opex_variance
2023-01-01,2023-01,Canada,West,Sales,64495.42,36958.53,101453.95,69587.21,36885.38,107484.24,-5091.79,73.15,-6030.29
2023-01-01,2023-01,Canada,West,Technology,75961.05,43329.96,119291.0,79360.72,44286.26,120566.79,-3399.67,-956.3,-1275.79
2023-01-01,2023-01,UK,Central,G&A,23813.47,17089.44,40902.91,25230.0,16993.65,43602.5,-1416.53,95.79,-2699.59
2023-01-01,2023-01,UK,Central,Marketing,33228.45,23070.03,56298.48,34689.79,24353.25,55345.3,-1461.34,-1283.22,953.18
2023-01-01,2023-01,UK,Central,Operations,57745.44,39024.63,96770.07,57900.02,39860.23,104112.71,-154.58,-835.6,-7342.64
2023-01-01,2023-01,UK,Central,Sales,48423.45,22014.15,70437.6,50990.56,22903.62,76385.86,-2567.11,-889.47,-5948.26
2023-01-01,2023-01,UK,Central,Technology,56962.77,33135.86,90098.63,60428.01,35193.26,94809.49,-3465.24,-2057.4,-4710.86
2023-01-01,2023-01,UK,East,G&A,25757.27,15915.81,41673.08,25915.74,17022.04,43968.11,-158.47,-1106.23,-2295.03
2023-01-01,2023-01,UK,East,Marketing,32696.87,22703.01,55399.88,32975.07,24054.49,57883.73,-278.2,-1351.48,-2483.85
2023-01-01,2023-01,UK,East,Operations,59867.59,38958.91,98826.5,61937.66,41213.66,103121.38,-2070.07,-2254.75,-4294.88
2023-01-01,2023-01,UK,East,Sales,45733.92,23958.66,69692.58,47554.73,23868.95,72012.69,-1820.81,89.71,-2320.11
2023-01-01,2023-01,UK,East,Technology,54851.63,32101.99,86953.62,56343.64,34337.52,93024.25,-1492.01,-2235.53,-6070.63
2023-01-01,2023-01,UK,International,G&A,22453.29,12232.62,34685.91,22091.66,12992.37,37108.82,361.63,-759.75,-2422.91
2023-01-01,2023-01,UK,International,Marketing,27970.93,17121.78,45092.7,29332.06,17824.17,46889.52,-1361.13,-702.39,-1796.82
2023-01-01,2023-01,UK,International,Operations,50117.19,28431.27,78548.46,51543.19,28708.27,80747.69,-1426.0,-277.0,-2199.23
2023-01-01,2023-01,UK,International,Sales,39170.2,25999.27,65169.47,42113.02,25569.56,67592.4,-2942.82,429.71,-2422.93
2023-01-01,2023-01,UK,International,Technology,42118.67,27420.8,69539.47,43608.48,27873.06,70802.51,-1489.81,-452.26,-1263.04
2023-01-01,2023-01,UK,West,G&A,30313.64,16963.62,47277.25,31692.77,17937.41,49341.85,-1379.13,-973.79,-2064.6
2023-01-01,2023-01,UK,West,Marketing,37568.87,23638.61,61207.48,39720.21,26465.01,65874.41,-2151.34,-2826.4,-4666.93
2023-01-01,2023-01,UK,West,Operations,72974.02,47490.89,120464.91,76118.32,47885.96,124456.18,-3144.3,-395.07,-3991.27
2023-01-01,2023-01,UK,West,Sales,56925.55,35059.19,91984.74,58838.17,35535.55,97174.99,-1912.62,-476.36,-5190.25
2023-01-01,2023-01,UK,West,Technology,61895.2,40630.59,102525.79,66706.71,41318.96,107178.65,-4811.51,-688.37,-4652.86
2023-01-01,2023-01,USA,Central,G&A,39694.54,30668.72,70363.26,41674.39,30223.03,70221.55,-1979.85,445.69,141.71
2023-01-01,2023-01,USA,Central,Marketing,55997.76,28886.55,84884.32,59262.91,31572.17,86801.49,-3265.15,-2685.62,-1917.17
2023-01-01,2023-01,USA,Central,Operations,98636.44,55155.54,153791.98,97712.8,57469.24,153120.58,923.64,-2313.7,671.4
2023-01-01,2023-01,USA,Central,Sales,72472.49,48468.82,120941.31,77633.81,52232.32,119135.24,-5161.32,-3763.5,1806.07
2023-01-01,2023-01,USA,Central,Technology,86428.25,57038.55,143466.8,88225.74,62638.79,148910.23,-1797.49,-5600.24,-5443.43
2023-01-01,2023-01,USA,East,G&A,41618.91,23992.03,65610.94,43565.72,25024.17,67079.1,-1946.81,-1032.14,-1468.16
2023-01-01,2023-01,USA,East,Marketing,52643.64,29815.16,82458.8,55227.72,31906.15,83449.37,-2584.08,-2090.99,-990.57
2023-01-01,2023-01,USA,East,Operations,102258.92,55227.22,157486.14,104199.15,56265.24,162524.33,-1940.23,-1038.02,-5038.19
2023-01-01,2023-01,USA,East,Sales,75593.93,43515.49,119109.42,76251.69,47898.21,124702.92,-657.76,-4382.72,-5593.5
2023-01-01,2023-01,USA,East,Technology,87386.3,53104.96,140491.27,91988.04,55232.41,145522.18,-4601.74,-2127.45,-5030.91
2023-01-01,2023-01,USA,International,G&A,32186.28,20332.86,52519.14,35591.57,22743.56,54203.35,-3405.29,-2410.7,-1684.21
2023-01-01,2023-01,USA,International,Marketing,41682.07,30398.06,72080.12,43572.0,33321.43,74227.57,-1889.93,-2923.37,-2147.45
2023-01-01,2023-01,USA,International,Operations,82478.52,54590.84,137069.36,82837.41,56656.98,144445.61,-358.89,-2066.14,-7376.25
2023-01-01,2023-01,USA,International,Sales,66296.19,37066.21,103362.4,68955.1,38074.73,104300.82,-2658.91,-1008.52,-938.42
2023-01-01,2023-01,USA,International,Technology,73255.99,44724.81,117980.79,76798.07,44922.65,115723.28,-3542.08,-197.84,2257.51
2023-01-01,2023-01,USA,West,G&A,46923.95,30752.97,77676.91,46644.42,31397.31,86705.28,279.53,-644.34,-9028.37
2023-01-01,2023-01,USA,West,Marketing,66134.46,39245.62,105380.08,68394.11,41962.7,109545.72,-2259.65,-2717.08,-4165.64
2023-01-01,2023-01,USA,West,Operations,114271.41,65111.78,179383.19,122504.71,67440.56,196242.99,-8233.3,-2328.78,-16859.8
2023-01-01,2023-01,USA,West,Sales,88854.19,56279.95,145134.13,94320.65,58431.59,143024.54,-5466.46,-2151.64,2109.59
2023-01-01,2023-01,USA,West,Technology,104080.62,75033.33,179113.95,110969.58,80112.71,191952.16,-6888.96,-5079.38,-12838.21
2023-02-01,2023-02,Canada,Central,G&A,29834.14,17149.43,46983.57,33086.77,17652.48,48565.47,-3252.63,-503.05,-1581.9
2023-02-01,2023-02,Canada,Central,Marketing,43094.59,23680.72,66775.31,46055.94,24814.49,69439.57,-2961.35,-1133.77,-2664.26
2023-02-01,2023-02,Canada,Central,Operations,72709.21,44113.98,116823.19,77820.21,44699.44,123441.65,-5111.0,-585.46,-6618.46
2023-02-01,2023-02,Canada,Central,Sales,54131.57,37353.15,91484.72,55973.39,36865.86,94912.47,-1841.82,487.29,-3427.75
2023-02-01,2023-02,Canada,Central,Technology,68817.11,44146.8,112963.91,73417.58,46273.8,112080.53,-4600.47,-2127.0,883.38
2023-02-01,2023-02,Canada,East,G&A,29118.63,20374.83,49493.46,30246.04,20497.72,53040.02,-1127.41,-122.89,-3546.56
2023-02-01,2023-02,Canada,East,Marketing,34816.68,22103.91,56920.58,37416.94,23329.52,57143.31,-2600.26,-1225.61,-222.73
2023-02-01,2023-02,Canada,East,Operations,71148.13,41495.89,112644.02,67820.43,43380.19,115775.27,3327.7,-1884.3,-3131.25
2023-02-01,2023-02,Canada,East,Sales,57432.83,34358.62,91791.45,57677.87,35896.85,98726.97,-245.04,-1538.23,-6935.52
2023-02-01,2023-02,Canada,East,Technology,63209.76,35322.18,98531.94,65391.5,36224.83,102725.71,-2181.74,-902.65,-4193.77
2023-02-01,2023-02,Canada,International,G&A,25677.34,16104.19,41781.53,27197.59,17191.84,41926.14,-1520.25,-1087.65,-144.61
2023-02-01,2023-02,Canada,International,Marketing,35132.72,17455.11,52587.83,37203.53,18650.55,52739.31,-2070.81,-1195.44,-151.48
2023-02-01,2023-02,Canada,International,Operations,55453.82,37218.87,92672.69,61163.23,36594.99,96339.28,-5709.41,623.88,-3666.59
2023-02-01,2023-02,Canada,International,Sales,41301.64,30746.54,72048.18,41738.88,32196.47,77086.75,-437.24,-1449.93,-5038.57
2023-02-01,2023-02,Canada,International,Technology,56701.93,36861.45,93563.38,60707.0,36520.84,96060.84,-4005.07,340.61,-2497.46
2023-02-01,2023-02,Canada,West,G&A,37675.97,23440.12,61116.09,37037.49,23991.17,60441.7,638.48,-551.05,674.39
2023-02-01,2023-02,Canada,West,Marketing,50146.33,28533.04,78679.37,52483.59,29225.84,81851.06,-2337.26,-692.8,-3171.69
2023-02-01,2023-02,Canada,West,Operations,85814.63,52740.99,138555.62,83406.48,53202.05,143671.79,2408.15,-461.06,-5116.17
2023-02-01,2023-02,Canada,West,Sales,60705.51,40179.03,100884.55,65619.29,42932.11,104859.28,-4913.78,-2753.08,-3974.73
2023-02-01,2023-02,Canada,West,Technology,82165.33,49837.16,132002.5,88250.45,53355.43,136362.31,-6085.12,-3518.27,-4359.81
2023-02-01,2023-02,UK,Central,G&A,25953.44,18830.58,44784.02,27101.34,19526.76,46196.98,-1147.9,-696.18,-1412.96
2023-02-01,2023-02,UK,Central,Marketing,33745.46,18488.6,52234.06,34589.09,18603.2,53110.65,-843.63,-114.6,-876.59
2023-02-01,2023-02,UK,Central,Operations,62378.37,39126.22,101504.59,64711.07,39445.92,101689.14,-2332.7,-319.7,-184.55
2023-02-01,2023-02,UK,Central,Sales,47413.87,23968.66,71382.54,50044.48,25603.54,71092.16,-2630.61,-1634.88,290.38
2023-02-01,2023-02,UK,Central,Technology,53172.1,38593.49,91765.59,54548.93,40840.28,95319.83,-1376.83,-2246.79,-3554.24
2023-02-01,2023-02,UK,East,G&A,23961.84,15045.48,39007.32,24507.24,15802.51,38971.56,-545.4,-757.03,35.76
2023-02-01,2023-02,UK,East,Marketing,32321.98,19516.47,51838.45,34764.53,21119.79,54312.96,-2442.55,-1603.32,-2474.51
2023-02-01,2023-02,UK,East,Operations,60380.33,39181.43,99561.75,61506.0,42096.14,108195.16,-1125.67,-2914.71,-8633.41
2023-02-01,2023-02,UK,East,Sales,45954.97,28701.57,74656.54,45574.1,31143.48,75802.02,380.87,-2441.91,-1145.48
2023-02-01,2023-02,UK,East,Technology,56983.8,30488.59,87472.4,60950.58,32132.92,91053.94,-3966.78,-1644.33,-3581.54
2023-02-01,2023-02,UK,International,G&A,20733.6,12702.52,33436.12,22061.83,12987.18,36847.04,-1328.23,-284.66,-3410.92
2023-02-01,2023-02,UK,International,Marketing,27897.41,16005.96,43903.37,29458.72,16888.62,44773.97,-1561.31,-882.66,-870.6
2023-02-01,2023-02,UK,International,Operations,50437.68,30230.48,80668.16,52405.92,31967.7,82531.21,-1968.24,-1737.22,-1863.05
2023-02-01,2023-02,UK,International,Sales,41246.39,22963.76,64210.15,42243.64,24318.46,64526.32,-997.25,-1354.7,-316.17
2023-02-01,2023-02,UK,International,Technology,41237.81,26280.82,67518.63,43348.72,28275.28,71549.55,-2110.91,-1994.46,-4030.92
2023-02-01,2023-02,UK,West,G&A,30118.64,17563.18,47681.82,29456.95,17794.91,49148.02,661.69,-231.73,-1466.2
2023-02-01,2023-02,UK,West,Marketing,40318.42,22548.08,62866.5,41609.6,24053.22,62700.97,-1291.18,-1505.14,165.53
2023-02-01,2023-02,UK,West,Operations,73248.16,43515.35,116763.5,76701.41,43564.99,118076.26,-3453.25,-49.64,-1312.76
2023-02-01,2023-02,UK,West,Sales,54235.42,30502.12,84737.54,57472.34,30228.26,88611.58,-3236.92,273.86,-3874.04
2023-02-01,2023-02,UK,West,Technology,65758.07,41897.59,107655.66,67766.36,42969.95,110144.6,-2008.29,-1072.36,-2488.94
2023-02-01,2023-02,USA,Central,G&A,42958.89,26040.34,68999.24,45424.83,26652.89,72300.95,-2465.94,-612.55,-3301.71
2023-02-01,2023-02,USA,Central,Marketing,50628.58,33496.65,84125.23,53116.8,35088.89,89547.56,-2488.22,-1592.24,-5422.33
2023-02-01,2023-02,USA,Central,Operations,104609.47,59144.53,163754.01,102462.75,62468.46,170520.17,2146.72,-3323.93,-6766.16
2023-02-01,2023-02,USA,Central,Sales,81905.59,46300.19,128205.77,85349.32,48878.89,134673.72,-3443.73,-2578.7,-6467.95
2023-02-01,2023-02,USA,Central,Technology,90536.0,56727.52,147263.53,92180.08,56871.63,156368.55,-1644.08,-144.11,-9105.02
2023-02-01,2023-02,USA,East,G&A,42333.59,25295.77,67629.36,44164.24,27101.0,70124.15,-1830.65,-1805.23,-2494.79
2023-02-01,2023-02,USA,East,Marketing,51781.98,32646.04,84428.02,52496.47,35192.09,87818.41,-714.49,-2546.05,-3390.39
2023-02-01,2023-02,USA,East,Operations,96046.02,58146.66,154192.68,99377.55,56350.02,163044.3,-3331.53,1796.64,-8851.62
2023-02-01,2023-02,USA,East,Sales,68842.45,44426.04,113268.5,71979.6,47031.73,125887.72,-3137.15,-2605.69,-12619.22
2023-02-01,2023-02,USA,East,Technology,89577.17,49402.0,138979.17,84929.95,50314.65,138944.02,4647.22,-912.65,35.15
2023-02-01,2023-02,USA,International,G&A,32633.73,16752.7,49386.42,34723.36,17265.32,54276.65,-2089.63,-512.62,-4890.23
2023-02-01,2023-02,USA,International,Marketing,47747.68,26979.74,74727.42,50859.94,28309.58,77991.34,-3112.26,-1329.84,-3263.92
2023-02-01,2023-02,USA,International,Operations,84755.58,44219.16,128974.75,87828.04,44880.99,134298.11,-3072.46,-661.83,-5323.36
2023-02-01,2023-02,USA,International,Sales,58780.95,35218.98,93999.92,61371.82,37706.64,100478.91,-2590.87,-2487.66,-6478.99
2023-02-01,2023-02,USA,International,Technology,76179.11,51209.67,127388.77,79551.18,49894.94,134578.02,-3372.07,1314.73,-7189.25
2023-02-01,2023-02,USA,West,G&A,42761.07,29080.82,71841.89,44095.91,28723.95,74905.63,-1334.84,356.87,-3063.74
2023-02-01,2023-02,USA,West,Marketing,64112.64,33527.21,97639.84,70096.52,35432.08,99072.27,-5983.88,-1904.87,-1432.43
2023-02-01,2023-02,USA,West,Operations,119317.51,65464.86,184782.36,124927.31,69403.21,203031.4,-5609.8,-3938.35,-18249.04
2023-02-01,2023-02,USA,West,Sales,82031.26,56756.49,138787.75,83290.02,57700.54,140912.14,-1258.76,-944.05,-2124.39
2023-02-01,2023-02,USA,West,Technology,104938.04,70441.9,175379.94,107760.32,71812.0,181866.41,-2822.28,-1370.1,-6486.47
2023-03-01,2023-03,Canada,Central,G&A,30419.19,22443.34,52862.53,31426.97,23099.79,56118.64,-1007.78,-656.45,-3256.11
2023-03-01,2023-03,Canada,Central,Marketing,38304.38,25364.24,63668.62,40033.01,25947.08,65523.19,-1728.63,-582.84,-1854.57
2023-03-01,2023-03,Canada,Central,Operations,75347.65,43628.75,118976.41,81904.99,43157.25,128438.09,-6557.34,471.5,-9461.68
2023-03-01,2023-03,Canada,Central,Sales,57659.58,29429.96,87089.54,64414.45,31073.44,92213.67,-6754.87,-1643.48,-5124.13
2023-03-01,2023-03,Canada,Central,Technology,66409.89,47631.34,114041.24,66378.7,48514.56,119281.77,31.19,-883.22,-5240.53
2023-03-01,2023-03,Canada,East,G&A,29035.27,19475.68,48510.95,30860.24,19734.48,49538.52,-1824.97,-258.8,-1027.57
2023-03-01,2023-03,Canada,East,Marketing,40004.99,25194.07,65199.06,41724.65,26366.62,68657.79,-1719.66,-1172.55,-3458.73
2023-03-01,2023-03,Canada,East,Operations,69337.58,43837.52,113175.1,68515.41,44574.23,116429.84,822.17,-736.71,-3254.74
2023-03-01,2023-03,Canada,East,Sales,51489.16,32545.8,84034.96,53504.41,31604.35,86727.41,-2015.25,941.45,-2692.45
2023-03-01,2023-03,Canada,East,Technology,68387.47,42475.14,110862.6,70950.87,45286.23,113265.82,-2563.4,-2811.09,-2403.22
2023-03-01,2023-03,Canada,International,G&A,24479.85,15610.71,40090.56,24925.96,16321.01,42784.68,-446.11,-710.3,-2694.12
2023-03-01,2023-03,Canada,International,Marketing,33364.91,19087.6,52452.51,34259.73,20154.19,55259.09,-894.82,-1066.59,-2806.58
2023-03-01,2023-03,Canada,International,Operations,67181.75,37583.3,104765.05,73461.17,39116.09,108283.04,-6279.42,-1532.79,-3517.99
2023-03-01,2023-03,Canada,International,Sales,45477.46,24629.17,70106.63,47400.17,25006.36,71161.97,-1922.71,-377.19,-1055.34
2023-03-01,2023-03,Canada,International,Technology,57047.94,34877.47,91925.41,57675.56,35946.49,98296.81,-627.62,-1069.02,-6371.4
2023-03-01,2023-03,Canada,West,G&A,34767.92,20517.35,55285.27,35183.04,21659.32,56646.31,-415.12,-1141.97,-1361.04
2023-03-01,2023-03,Canada,West,Marketing,46308.39,26934.88,73243.27,47689.42,28635.71,78932.27,-1381.03,-1700.83,-5689.0
2023-03-01,2023-03,Canada,West,Operations,89148.54,54058.96,143207.51,91657.82,53432.7,145133.92,-2509.28,626.26,-1926.41
2023-03-01,2023-03,Canada,West,Sales,63771.75,47733.32,111505.08,66859.37,50248.02,112109.38,-3087.62,-2514.7,-604.3
2023-03-01,2023-03,Canada,West,Technology,82024.04,46145.91,128169.95,85788.94,44959.06,136218.07,-3764.9,1186.85,-8048.12
2023-03-01,2023-03,UK,Central,G&A,25697.59,17270.51,42968.1,27252.49,18986.83,45596.1,-1554.9,-1716.32,-2628.0
2023-03-01,2023-03,UK,Central,Marketing,35238.21,19125.13,54363.35,37438.88,20357.04,56947.66,-2200.67,-1231.91,-2584.31
2023-03-01,2023-03,UK,Central,Operations,62576.73,38862.61,101439.34,69027.71,41030.62,107353.0,-6450.98,-2168.01,-5913.66
2023-03-01,2023-03,UK,Central,Sales,47899.15,31324.9,79224.05,52182.99,33327.67,80380.86,-4283.84,-2002.77,-1156.81
2023-03-01,2023-03,UK,Central,Technology,60178.7,36351.46,96530.16,62855.86,37612.59,104969.64,-2677.16,-1261.13,-8439.48
2023-03-01,2023-03,UK,East,G&A,24368.63,16480.12,40848.75,25783.04,17560.29,43611.68,-1414.41,-1080.17,-2762.93
2023-03-01,2023-03,UK,East,Marketing,32618.3,21410.1,54028.4,33551.94,22588.6,55703.75,-933.64,-1178.5,-1675.35
2023-03-01,2023-03,UK,East,Operations,60486.54,37577.82,98064.36,60247.13,39430.95,101055.73,239.41,-1853.13,-2991.37
2023-03-01,2023-03,UK,East,Sales,51099.34,31587.93,82687.26,53921.5,31884.53,84512.89,-2822.16,-296.6,-1825.63
2023-03-01,2023-03,UK,East,Technology,53750.05,35392.05,89142.1,56667.5,36396.5,91011.21,-2917.45,-1004.45,-1869.11
2023-03-01,2023-03,UK,International,G&A,21226.63,12455.52,33682.14,23001.84,12647.57,34632.98,-1775.21,-192.05,-950.84
2023-03-01,2023-03,UK,International,Marketing,27429.62,15617.6,43047.23,29268.27,16442.51,44689.41,-1838.65,-824.91,-1642.18
2023-03-01,2023-03,UK,International,Operations,52448.99,31105.69,83554.67,55847.32,32662.24,89366.58,-3398.33,-1556.55,-5811.91
2023-03-01,2023-03,UK,International,Sales,37174.39,20679.59,57853.98,39014.09,21619.7,60971.86,-1839.7,-940.11,-3117.88
2023-03-01,2023-03,UK,International,Technology,47929.29,31242.44,79171.74,50251.69,33584.96,82667.35,-2322.4,-2342.52,-3495.61
2023-03-01,2023-03,UK,West,G&A,29923.31,18074.71,47998.02,33034.67,18364.79,51281.14,-3111.36,-290.08,-3283.12
2023-03-01,2023-03,UK,West,Marketing,38824.83,22449.01,61273.83,38290.5,23243.1,64733.96,534.33,-794.09,-3460.13
2023-03-01,2023-03,UK,West,Operations,77459.96,38100.95,115560.91,78771.37,40904.58,122121.47,-1311.41,-2803.63,-6560.56
2023-03-01,2023-03,UK,West,Sales,56635.12,35569.95,92205.07,61355.52,39091.59,98783.41,-4720.4,-3521.64,-6578.34
2023-03-01,2023-03,UK,West,Technology,69139.18,38712.52,107851.7,75504.03,37986.22,111891.62,-6364.85,726.3,-4039.92
2023-03-01,2023-03,USA,Central,G&A,42653.98,22810.61,65464.59,44992.84,24112.03,67431.07,-2338.86,-1301.42,-1966.48
2023-03-01,2023-03,USA,Central,Marketing,52456.55,32227.56,84684.11,55425.49,33232.06,86198.36,-2968.94,-1004.5,-1514.25
2023-03-01,2023-03,USA,Central,Operations,94966.58,57024.49,151991.07,92422.97,60680.93,161548.24,2543.61,-3656.44,-9557.17
2023-03-01,2023-03,USA,Central,Sales,77969.28,41055.77,119025.06,83765.96,43669.15,119579.77,-5796.68,-2613.38,-554.71
2023-03-01,2023-03,USA,Central,Technology,94274.19,66927.75,161201.94,98457.81,69944.78,168531.16,-4183.62,-3017.03,-7329.22
2023-03-01,2023-03,USA,East,G&A,38064.29,22920.96,60985.26,39792.44,24078.96,63090.64,-1728.15,-1158.0,-2105.38
2023-03-01,2023-03,USA,East,Marketing,55595.17,32878.99,88474.16,54472.59,34954.3,92222.19,1122.58,-2075.31,-3748.03
2023-03-01,2023-03,USA,East,Operations,92030.43,59051.57,151082.0,93163.29,61531.16,153039.16,-1132.86,-2479.59,-1957.16
2023-03-01,2023-03,USA,East,Sales,69023.32,39885.81,108909.13,73406.11,41239.11,111975.1,-4382.79,-1353.3,-3065.97
2023-03-01,2023-03,USA,East,Technology,82142.7,52702.66,134845.35,84530.15,52584.7,146600.79,-2387.45,117.96,-11755.44
2023-03-01,2023-03,USA,International,G&A,32563.79,18372.13,50935.92,35185.04,19204.43,53440.34,-2621.25,-832.3,-2504.42
2023-03-01,2023-03,USA,International,Marketing,41961.18,29124.56,71085.74,43417.85,31313.49,71181.31,-1456.67,-2188.93,-95.57
2023-03-01,2023-03,USA,International,Operations,81148.9,55663.47,136812.37,85435.83,59259.71,138160.06,-4286.93,-3596.24,-1347.69
2023-03-01,2023-03,USA,International,Sales,64487.63,29569.91,94057.54,65746.65,30600.38,96054.14,-1259.02,-1030.47,-1996.6
2023-03-01,2023-03,USA,International,Technology,64748.79,44321.51,109070.3,69413.86,47755.16,109923.71,-4665.07,-3433.65,-853.41
2023-03-01,2023-03,USA,West,G&A,49348.41,23246.84,72595.25,49402.57,24941.37,79726.65,-54.16,-1694.53,-7131.4
2023-03-01,2023-03,USA,West,Marketing,61675.05,29337.81,91012.87,64456.14,30359.11,95255.54,-2781.09,-1021.3,-4242.67
2023-03-01,2023-03,USA,West,Operations,116302.64,71432.8,187735.44,121150.97,72224.15,198939.52,-4848.33,-791.35,-11204.08
2023-03-01,2023-03,USA,West,Sales,95941.66,53601.7,149543.36,101591.68,55885.91,161473.76,-5650.02,-2284.21,-11930.4
2023-03-01,2023-03,USA,West,Technology,107599.49,57915.66,165515.14,111380.66,60127.45,178187.2,-3781.17,-2211.79,-12672.06
2023-04-01,2023-04,Canada,Central,G&A,32960.86,20874.15,53835.01,33101.6,21955.83,56793.16,-140.74,-1081.68,-2958.15
2023-04-01,2023-04,Canada,Central,Marketing,43317.13,23500.11,66817.24,45547.23,23793.15,71204.88,-2230.1,-293.04,-4387.64
2023-04-01,2023-04,Canada,Central,Operations,74701.76,48991.37,123693.12,78124.26,51417.31,133987.41,-3422.5,-2425.94,-10294.29
2023-04-01,2023-04,Canada,Central,Sales,53127.91,41267.43,94395.34,55760.78,42021.53,101077.82,-2632.87,-754.1,-6682.48
2023-04-01,2023-04,Canada,Central,Technology,68771.56,43134.2,111905.76,74049.34,44950.42,118805.28,-5277.78,-1816.22,-6899.52
2023-04-01,2023-04,Canada,East,G&A,31323.43,17250.62,48574.05,33604.69,18231.35,52048.36,-2281.26,-980.73,-3474.31
2023-04-01,2023-04,Canada,East,Marketing,38123.62,19251.45,57375.07,39911.23,20055.52,61354.42,-1787.61,-804.07,-3979.35
2023-04-01,2023-04,Canada,East,Operations,77275.52,44589.3,121864.82,81229.97,45967.81,128222.54,-3954.45,-1378.51,-6357.72
2023-04-01,2023-04,Canada,East,Sales,49733.32,35271.94,85005.26,54268.07,36734.67,89175.97,-4534.75,-1462.73,-4170.71
2023-04-01,2023-04,Canada,East,Technology,63487.08,35814.23,99301.31,66546.88,36633.92,102717.33,-3059.8,-819.69,-3416.02
2023-04-01,2023-04,Canada,International,G&A,24812.58,15630.61,40443.2,25707.91,16617.3,40845.85,-895.33,-986.69,-402.65
2023-04-01,2023-04,Canada,International,Marketing,35351.77,18230.41,53582.18,33994.87,17971.33,57942.51,1356.9,259.08,-4360.33
2023-04-01,2023-04,Canada,International,Operations,62022.74,37776.8,99799.53,66568.06,40297.89,105652.08,-4545.32,-2521.09,-5852.55
2023-04-01,2023-04,Canada,International,Sales,46013.05,25013.15,71026.2,46328.33,26566.86,74856.3,-315.28,-1553.71,-3830.1
2023-04-01,2023-04,Canada,International,Technology,53388.42,34332.65,87721.07,57413.4,36444.12,89604.63,-4024.98,-2111.47,-1883.56
2023-04-01,2023-04,Canada,West,G&A,37800.92,21230.19,59031.11,39624.34,21709.15,59563.34,-1823.42,-478.96,-532.23
2023-04-01,2023-04,Canada,West,Marketing,46471.48,28480.08,74951.55,47875.7,28984.04,82103.96,-1404.22,-503.96,-7152.41
2023-04-01,2023-04,Canada,West,Operations,87741.15,52482.71,140223.86,90911.44,53910.07,140205.25,-3170.29,-1427.36,18.61
2023-04-01,2023-04,Canada,West,Sales,67875.31,41243.63,109118.94,70316.61,42033.09,114708.14,-2441.3,-789.46,-5589.2
2023-04-01,2023-04,Canada,West,Technology,73711.73,54691.26,128402.99,76527.11,53873.92,133660.78,-2815.38,817.34,-5257.79
