month_start,period,entity,region,department,actual_ending_headcount,actual_payroll_cost,budget_ending_headcount,budget_payroll_cost,headcount_variance,payroll_variance
2023-03-01,2023-03,Canada,International,Sales,9,59302.5,9.72,64181.82,-0.72,-4879.32
2023-03-01,2023-03,Canada,International,Technology,8,57001.1,8.42,59851.98,-0.42,-2850.88
2023-03-01,2023-03,Canada,West,G&A,6,48853.15,6.18,49468.0,-0.18,-614.85
2023-03-01,2023-03,Canada,West,Marketing,8,56706.28,8.41,58954.33,-0.41,-2248.05
2023-03-01,2023-03,Canada,West,Operations,20,142113.23,21.54,143014.49,-1.54,-901.26
2023-03-01,2023-03,Canada,West,Sales,14,114586.5,13.52,116615.96,0.48,-2029.46
2023-03-01,2023-03,Canada,West,Technology,11,53755.54,11.4,55967.42,-0.4,-2211.88
2023-03-01,2023-03,UK,Central,G&A,4,29060.5,4.03,31743.35,-0.03,-2682.85
2023-03-01,2023-03,UK,Central,Marketing,6,50012.09,6.3,49113.79,-0.3,898.3
2023-03-01,2023-03,UK,Central,Operations,14,102615.06,13.88,106753.63,0.12,-4138.57
2023-03-01,2023-03,UK,Central,Sales,10,58192.37,10.37,59759.25,-0.37,-1566.88
2023-03-01,2023-03,UK,Central,Technology,8,51066.86,8.1,54405.16,-0.1,-3338.3
2023-03-01,2023-03,UK,East,G&A,4,30038.4,4.34,31297.82,-0.34,-1259.42
2023-03-01,2023-03,UK,East,Marketing,6,42391.02,6.2,44374.28,-0.2,-1983.26
2023-03-01,2023-03,UK,East,Operations,13,102630.65,14.06,105977.64,-1.06,-3346.99
2023-03-01,2023-03,UK,East,Sales,11,65702.3,11.61,67010.29,-0.61,-1307.99
2023-03-01,2023-03,UK,East,Technology,8,67622.34,9.0,68051.55,-1.0,-429.21
2023-03-01,2023-03,UK,International,G&A,4,18883.72,4.09,19714.25,-0.09,-830.53
2023-03-01,2023-03,UK,International,Marketing,5,42745.55,5.27,42511.97,-0.27,233.58
2023-03-01,2023-03,UK,International,Operations,11,77314.19,10.7,79370.02,0.3,-2055.83
2023-03-01,2023-03,UK,International,Sales,8,44841.4,8.2,47984.66,-0.2,-3143.26
2023-03-01,2023-03,UK,International,Technology,7,56483.11,7.11,60729.93,-0.11,-4246.82
2023-03-01,2023-03,UK,West,G&A,5,42745.31,5.37,44907.89,-0.37,-2162.58
2023-03-01,2023-03,UK,West,Marketing,6,43728.26,5.95,43132.65,0.05,595.61
2023-03-01,2023-03,UK,West,Operations,16,97252.86,15.59,103049.26,0.41,-5796.4
2023-03-01,2023-03,UK,West,Sales,12,85313.59,11.9,89795.34,0.1,-4481.75
2023-03-01,2023-03,UK,West,Technology,10,68249.77,10.42,68758.45,-0.42,-508.68
2023-03-01,2023-03,USA,Central,G&A,7,43935.98,7.15,44442.29,-0.15,-506.31
2023-03-01,2023-03,USA,Central,Marketing,10,68342.79,10.08,69476.66,-0.08,-1133.87
2023-03-01,2023-03,USA,Central,Operations,22,170318.34,22.96,170886.53,-0.96,-568.19
2023-03-01,2023-03,USA,Central,Sales,16,131120.54,16.19,138370.76,-0.19,-7250.22
2023-03-01,2023-03,USA,Central,Technology,13,101866.29,13.1,106348.35,-0.1,-4482.06
2023-03-01,2023-03,USA,East,G&A,6,48771.39,6.27,47947.96,-0.27,823.43
2023-03-01,2023-03,USA,East,Marketing,9,61886.49,9.31,63249.4,-0.31,-1362.91
2023-03-01,2023-03,USA,East,Operations,21,129699.36,21.33,135496.3,-0.33,-5796.94
2023-03-01,2023-03,USA,East,Sales,15,94538.56,15.73,100512.3,-0.73,-5973.74
2023-03-01,2023-03,USA,East,Technology,13,95597.25,13.27,89998.12,-0.27,5599.13
2023-03-01,2023-03,USA,International,G&A,5,42541.35,5.21,43388.92,-0.21,-847.57
2023-03-01,2023-03,USA,International,Marketing,8,66684.68,8.38,70465.27,-0.38,-3780.59
2023-03-01,2023-03,USA,International,Operations,17,114493.46,17.09,118831.42,-0.09,-4337.96
2023-03-01,2023-03,USA,International,Sales,13,96000.66,13.31,98581.22,-0.31,-2580.56
2023-03-01,2023-03,USA,International,Technology,10,69128.14,10.58,71013.63,-0.58,-1885.49
2023-03-01,2023-03,USA,West,G&A,8,69866.84,8.22,66482.96,-0.22,3383.88
2023-03-01,2023-03,USA,West,Marketing,10,59969.5,10.15,62638.82,-0.15,-2669.32
2023-03-01,2023-03,USA,West,Operations,24,161291.67,24.39,168067.56,-0.39,-6775.89
2023-03-01,2023-03,USA,West,Sales,19,153333.71,19.91,155191.17,-0.91,-1857.46
2023-03-01,2023-03,USA,West,Technology,15,98086.68,15.83,99167.73,-0.83,-1081.05
2023-04-01,2023-04,Canada,Central,G&A,5,36696.83,5.3,38994.58,-0.3,-2297.75
2023-04-01,2023-04,Canada,Central,Marketing,7,50057.65,6.98,47595.24,0.02,2462.41
2023-04-01,2023-04,Canada,Central,Operations,16,80332.13,16.13,80317.77,-0.13,14.36
2023-04-01,2023-04,Canada,Central,Sales,12,90201.87,11.83,90995.26,0.17,-793.39
2023-04-01,2023-04,Canada,Central,Technology,10,65975.8,10.46,66753.31,-0.46,-777.51
2023-04-01,2023-04,Canada,East,G&A,5,41138.24,5.21,42734.8,-0.21,-1596.56
2023-04-01,2023-04,Canada,East,Marketing,6,39465.57,6.27,42607.72,-0.27,-3142.15
2023-04-01,2023-04,Canada,East,Operations,15,120618.69,15.49,126225.99,-0.49,-5607.3
2023-04-01,2023-04,Canada,East,Sales,11,85552.09,11.13,90061.07,-0.13,-4508.98
2023-04-01,2023-04,Canada,East,Technology,9,67693.02,9.16,70367.91,-0.16,-2674.89
2023-04-01,2023-04,Canada,International,G&A,4,28008.11,4.36,28300.57,-0.36,-292.46
2023-04-01,2023-04,Canada,International,Marketing,6,48650.19,6.14,48929.74,-0.14,-279.55
2023-04-01,2023-04,Canada,International,Operations,13,83412.03,13.45,80603.0,-0.45,2809.03
2023-04-01,2023-04,Canada,International,Sales,9,53299.41,9.6,54639.33,-0.6,-1339.92
2023-04-01,2023-04,Canada,International,Technology,8,59551.45,7.84,62112.48,0.16,-2561.03
2023-04-01,2023-04,Canada,West,G&A,6,43316.67,5.99,45579.24,0.01,-2262.57
2023-04-01,2023-04,Canada,West,Marketing,8,42886.52,8.12,43118.55,-0.12,-232.03
2023-04-01,2023-04,Canada,West,Operations,18,120284.06,18.73,119819.33,-0.73,464.73
2023-04-01,2023-04,Canada,West,Sales,13,102477.45,13.68,105377.02,-0.68,-2899.57
2023-04-01,2023-04,Canada,West,Technology,12,84274.44,12.29,85990.49,-0.29,-1716.05
2023-04-01,2023-04,UK,Central,G&A,4,35716.45,4.08,37335.24,-0.08,-1618.79
2023-04-01,2023-04,UK,Central,Marketing,6,44173.73,6.0,44291.38,0.0,-117.65
2023-04-01,2023-04,UK,Central,Operations,14,109830.77,14.49,113131.92,-0.49,-3301.15
2023-04-01,2023-04,UK,Central,Sales,10,60009.8,10.88,61427.83,-0.88,-1418.03
2023-04-01,2023-04,UK,Central,Technology,9,77837.29,9.68,76096.43,-0.68,1740.86
2023-04-01,2023-04,UK,East,G&A,4,26311.64,4.22,27547.24,-0.22,-1235.6
2023-04-01,2023-04,UK,East,Marketing,6,35380.13,6.41,36074.83,-0.41,-694.7
2023-04-01,2023-04,UK,East,Operations,13,73444.15,13.09,76390.98,-0.09,-2946.83
2023-04-01,2023-04,UK,East,Sales,9,54336.36,9.04,57135.35,-0.04,-2798.99
2023-04-01,2023-04,UK,East,Technology,8,64303.29,7.72,68805.09,0.28,-4501.8
2023-04-01,2023-04,UK,International,G&A,3,22722.29,3.11,23406.59,-0.11,-684.3
2023-04-01,2023-04,UK,International,Marketing,5,39221.63,4.71,40803.01,0.29,-1581.38
2023-04-01,2023-04,UK,International,Operations,11,78382.36,11.28,79857.93,-0.28,-1475.57
2023-04-01,2023-04,UK,International,Sales,8,68233.84,8.46,69775.8,-0.46,-1541.96
2023-04-01,2023-04,UK,International,Technology,7,56421.92,7.47,56866.97,-0.47,-445.05
2023-04-01,2023-04,UK,West,G&A,5,40894.23,4.94,42430.47,0.06,-1536.24
2023-04-01,2023-04,UK,West,Marketing,7,54363.55,7.22,56100.72,-0.22,-1737.17
2023-04-01,2023-04,UK,West,Operations,14,117626.71,14.57,116401.14,-0.57,1225.57
2023-04-01,2023-04,UK,West,Sales,12,97511.57,11.9,101281.0,0.1,-3769.43
2023-04-01,2023-04,UK,West,Technology,10,58796.69,10.14,59415.97,-0.14,-619.28
2023-04-01,2023-04,USA,Central,G&A,7,49800.55,7.13,51422.87,-0.13,-1622.32
2023-04-01,2023-04,USA,Central,Marketing,10,69105.71,10.14,73654.2,-0.14,-4548.49
2023-04-01,2023-04,USA,Central,Operations,23,199137.28,22.64,200324.77,0.36,-1187.49
2023-04-01,2023-04,USA,Central,Sales,17,124671.49,17.04,137374.52,-0.04,-12703.03
2023-04-01,2023-04,USA,Central,Technology,13,91711.29,13.82,93090.05,-0.82,-1378.76
2023-04-01,2023-04,USA,East,G&A,7,39316.49,7.09,38949.88,-0.09,366.61
2023-04-01,2023-04,USA,East,Marketing,8,64565.49,8.17,64625.92,-0.17,-60.43
2023-04-01,2023-04,USA,East,Operations,21,152406.22,20.45,156740.87,0.55,-4334.65
2023-04-01,2023-04,USA,East,Sales,16,105508.98,16.14,113838.28,-0.14,-8329.3
2023-04-01,2023-04,USA,East,Technology,13,106686.93,13.77,110388.81,-0.77,-3701.88
2023-04-01,2023-04,USA,International,G&A,6,38887.99,5.93,40947.52,0.07,-2059.53
2023-04-01,2023-04,USA,International,Marketing,8,62717.57,8.73,65238.09,-0.73,-2520.52
2023-04-01,2023-04,USA,International,Operations,16,117441.48,15.96,121109.44,0.04,-3667.96
2023-04-01,2023-04,USA,International,Sales,13,98297.16,13.22,103978.14,-0.22,-5680.98
2023-04-01,2023-04,USA,International,Technology,10,80176.01,9.99,84542.6,0.01,-4366.59
2023-04-01,2023-04,USA,West,G&A,8,62705.01,8.22,62204.38,-0.22,500.63
2023-04-01,2023-04,USA,West,Marketing,12,86520.61,12.44,88907.47,-0.44,-2386.86
2023-04-01,2023-04,USA,West,Operations,25,193433.76,26.44,206164.11,-1.44,-12730.35
2023-04-01,2023-04,USA,West,Sales,18,95201.27,18.89,100858.32,-0.89,-5657.05
2023-04-01,2023-04,USA,West,Technology,14,98257.64,14.26,99879.74,-0.26,-1622.1
2023-05-01,2023-05,Canada,Central,G&A,5,39870.83,5.13,40218.7,-0.13,-347.87
2023-05-01,2023-05,Canada,Central,Marketing,7,49359.98,6.87,51786.78,0.13,-2426.8
2023-05-01,2023-05,Canada,Central,Operations,16,119951.41,16.75,123980.79,-0.75,-4029.38
2023-05-01,2023-05,Canada,Central,Sales,12,69852.0,12.56,73296.42,-0.56,-3444.42
2023-05-01,2023-05,Canada,Central,Technology,10,81226.21,10.12,86478.16,-0.12,-5251.95
2023-05-01,2023-05,Canada,East,G&A,5,34159.97,5.28,35076.16,-0.28,-916.19
2023-05-01,2023-05,Canada,East,Marketing,7,49901.53,6.95,50191.7,0.05,-290.17
2023-05-01,2023-05,Canada,East,Operations,15,92921.59,15.23,92184.91,-0.23,736.68
2023-05-01,2023-05,Canada,East,Sales,11,81703.48,11.64,81966.83,-0.64,-263.35
2023-05-01,2023-05,Canada,East,Technology,9,72355.91,9.15,73771.77,-0.15,-1415.86
2023-05-01,2023-05,Canada,International,G&A,4,26523.22,4.01,26599.27,-0.01,-76.05
2023-05-01,2023-05,Canada,International,Marketing,6,48404.18,6.23,50514.64,-0.23,-2110.46
2023-05-01,2023-05,Canada,International,Operations,13,92455.8,13.47,99573.79,-0.47,-7117.99
2023-05-01,2023-05,Canada,International,Sales,10,75624.46,9.97,77905.83,0.03,-2281.37
2023-05-01,2023-05,Canada,International,Technology,8,50825.26,7.77,50898.78,0.23,-73.52
2023-05-01,2023-05,Canada,West,G&A,6,53013.48,6.42,54941.22,-0.42,-1927.74
2023-05-01,2023-05,Canada,West,Marketing,8,65984.23,7.89,67768.37,0.11,-1784.14
2023-05-01,2023-05,Canada,West,Operations,17,127150.33,17.36,128885.17,-0.36,-1734.84
2023-05-01,2023-05,Canada,West,Sales,13,84176.8,13.23,89447.88,-0.23,-5271.08
2023-05-01,2023-05,Canada,West,Technology,12,94181.25,12.27,93934.44,-0.27,246.81
2023-05-01,2023-05,UK,Central,G&A,4,30674.44,4.1,30916.32,-0.1,-241.88
2023-05-01,2023-05,UK,Central,Marketing,6,45168.85,6.19,47171.83,-0.19,-2002.98
2023-05-01,2023-05,UK,Central,Operations,13,86464.14,13.33,90359.55,-0.33,-3895.41
2023-05-01,2023-05,UK,Central,Sales,10,63513.33,10.24,62592.79,-0.24,920.54
2023-05-01,2023-05,UK,Central,Technology,9,82328.21,9.51,87657.57,-0.51,-5329.36
2023-05-01,2023-05,UK,East,G&A,4,26540.41,3.88,26835.65,0.12,-295.24
2023-05-01,2023-05,UK,East,Marketing,6,33837.66,6.25,36664.76,-0.25,-2827.1
2023-05-01,2023-05,UK,East,Operations,12,86836.63,12.16,89528.67,-0.16,-2692.04
2023-05-01,2023-05,UK,East,Sales,10,81099.87,10.17,86249.26,-0.17,-5149.39
2023-05-01,2023-05,UK,East,Technology,8,61564.13,8.09,59802.81,-0.09,1761.32
2023-05-01,2023-05,UK,International,G&A,3,22140.25,2.91,22679.49,0.09,-539.24
2023-05-01,2023-05,UK,International,Marketing,5,31065.19,5.13,32351.81,-0.13,-1286.62
2023-05-01,2023-05,UK,International,Operations,11,86984.35,10.35,91363.41,0.65,-4379.06
2023-05-01,2023-05,UK,International,Sales,9,57104.66,9.29,57564.33,-0.29,-459.67
2023-05-01,2023-05,UK,International,Technology,7,55962.43,7.02,57934.9,-0.02,-1972.47
2023-05-01,2023-05,UK,West,G&A,5,43596.71,5.21,46881.44,-0.21,-3284.73
2023-05-01,2023-05,UK,West,Marketing,6,43919.1,6.31,43796.42,-0.31,122.68
2023-05-01,2023-05,UK,West,Operations,16,108360.62,15.23,111796.94,0.77,-3436.32
2023-05-01,2023-05,UK,West,Sales,11,95762.6,11.02,96395.51,-0.02,-632.91
2023-05-01,2023-05,UK,West,Technology,9,84676.9,9.18,83035.95,-0.18,1640.95
2023-05-01,2023-05,USA,Central,G&A,7,58476.46,7.28,59467.83,-0.28,-991.37
2023-05-01,2023-05,USA,Central,Marketing,10,78084.91,9.65,78089.48,0.35,-4.57
2023-05-01,2023-05,USA,Central,Operations,22,154169.19,22.66,163211.43,-0.66,-9042.24
2023-05-01,2023-05,USA,Central,Sales,17,122718.3,17.68,125232.9,-0.68,-2514.6
2023-05-01,2023-05,USA,Central,Technology,12,70814.35,12.48,71183.41,-0.48,-369.06
2023-05-01,2023-05,USA,East,G&A,6,54427.45,6.05,54986.69,-0.05,-559.24
2023-05-01,2023-05,USA,East,Marketing,9,69360.13,9.23,67896.37,-0.23,1463.76
2023-05-01,2023-05,USA,East,Operations,20,118028.01,19.78,120700.81,0.22,-2672.8
