month_start,period,entity,revenue,cogs,total_opex,ar_days,ap_days,inventory_days,accounts_receivable,accounts_payable,inventory,operating_cash_proxy,scenario
2023-06-01,2023-06,UK,7307627.6,2668403.25,1463800.74,54,36,64,13153729.68,3553396.08,5692593.6,2968110.88,Actual
2023-06-01,2023-06,USA,11667705.26,4245435.29,2325580.05,53,30,65,20612945.96,4710551.3,9198443.13,4761013.7,Actual
2023-07-01,2023-07,Canada,8447834.34,3084009.38,1719501.93,39,32,51,10982184.64,3656437.08,5242815.95,3474212.1,Actual
2023-07-01,2023-07,UK,7338380.04,2652999.2,1470179.65,41,31,57,10029119.39,3045269.63,5040698.48,3054891.51,Actual
2023-07-01,2023-07,USA,11519895.53,4179302.97,2306478.58,48,23,66,18431832.85,3557792.33,9194466.53,4719658.68,Actual
2023-08-01,2023-08,Canada,8453005.17,3109714.22,1719934.95,44,35,57,12397740.92,4029318.08,5908457.02,3430415.41,Actual
2023-08-01,2023-08,UK,7073756.76,2591402.24,1495866.3,54,25,64,12732762.17,2408812.92,5528324.78,2775358.32,Actual
2023-08-01,2023-08,USA,11157434.36,4057685.08,2305538.28,43,23,64,15992322.58,3464407.76,8656394.84,4519719.08,Actual
2023-09-01,2023-09,Canada,8866588.52,3236621.92,1750859.76,47,26,46,13890988.68,3108554.69,4962820.28,3662124.99,Actual
2023-09-01,2023-09,UK,7420558.0,2700978.17,1490401.32,41,35,54,10141429.27,3498901.51,4861760.71,3073152.0,Actual
2023-09-01,2023-09,USA,11932485.7,4410720.7,2323753.33,38,36,62,15114481.89,5850565.64,9115489.45,4956876.18,Actual
2023-10-01,2023-10,Canada,9182969.86,3339655.06,1747498.73,44,27,64,13468355.79,3320239.33,7124597.46,3869996.35,Actual
2023-10-01,2023-10,UK,7529132.78,2732948.6,1473223.36,53,36,49,13301467.91,3633111.93,4463816.05,3124059.39,Actual
2023-10-01,2023-10,USA,12233103.98,4465767.82,2361546.74,54,35,64,22019587.16,5761090.03,9526971.35,5056890.74,Actual
2023-11-01,2023-11,Canada,9715533.04,3545927.51,1731253.75,42,29,63,13601746.26,3762438.98,7446447.77,4212378.39,Actual
2023-11-01,2023-11,UK,7767177.97,2844080.02,1489334.34,47,33,46,12168578.82,3456141.58,4360922.7,3250908.96,Actual
2023-11-01,2023-11,USA,12519291.92,4563877.29,2338050.29,44,25,48,18361628.15,4192906.12,7302203.66,5325451.35,Actual
2023-12-01,2023-12,Canada,10037474.78,3652495.03,1727616.61,50,27,60,16729124.63,3598216.52,7304990.06,4383968.52,Actual
2023-12-01,2023-12,UK,8165374.06,2959310.02,1504905.72,44,32,65,11975881.95,3477643.91,6411838.38,3505001.82,Actual
2023-12-01,2023-12,USA,13411462.94,4861439.36,2414269.32,52,28,60,23246535.76,4988007.01,9722878.72,5759153.26,Actual
2024-01-01,2024-01,Canada,8309877.0,3045223.23,1745276.13,54,25,61,14957778.6,2828565.38,6191953.9,3273760.98,Actual
2024-01-01,2024-01,UK,6834555.17,2496449.55,1517816.89,40,36,59,9112740.23,3360015.51,4909684.12,2677920.31,Actual
2024-01-01,2024-01,USA,10984337.91,3993402.23,2376978.91,42,22,57,15378073.07,3277118.54,7587464.24,4355357.15,Actual
2024-02-01,2024-02,Canada,8446407.08,3063948.96,1770584.91,47,30,45,13232704.43,3418065.94,4595923.44,3410795.92,Actual
2024-02-01,2024-02,UK,7224668.73,2625729.9,1482125.41,42,29,66,10114536.22,2824749.82,5776605.78,2947130.03,Actual
2024-02-01,2024-02,USA,11227452.81,4079387.4,2395533.49,44,33,49,16466930.79,5014343.51,6662999.42,4502367.4,Actual
2024-03-01,2024-03,Canada,8513998.5,3118145.78,1758201.63,44,28,64,12487197.8,3238467.03,6652044.33,3429511.44,Actual
2024-03-01,2024-03,UK,7357488.22,2672458.62,1516710.44,51,39,45,12507729.97,3868540.92,4008687.93,2987319.12,Actual
2024-03-01,2024-03,USA,11856582.12,4348369.82,2346044.63,52,22,56,20551409.01,3532891.08,8116957.0,4824289.79,Actual
2024-04-01,2024-04,Canada,9146889.38,3316758.57,1794999.44,42,30,67,12805645.13,3675758.46,7407427.47,3820544.86,Actual
2024-04-01,2024-04,UK,7642610.02,2792517.63,1487188.44,42,28,59,10699654.03,2883958.3,5491951.34,3187313.11,Actual
2024-04-01,2024-04,USA,12080681.42,4427803.29,2394756.25,41,35,48,16510264.61,5724546.96,7084485.26,5011037.5,Actual
2024-05-01,2024-05,Canada,9371544.23,3413419.79,1797750.09,46,22,63,14369701.15,2766844.53,7168181.56,3915151.83,Actual
2024-05-01,2024-05,UK,7799141.5,2828768.63,1538501.77,49,34,60,12738597.78,3554664.85,5657537.26,3231078.48,Actual
2024-05-01,2024-05,USA,12001977.04,4378666.67,2399603.09,53,36,67,21203492.77,5830304.75,9779022.23,4885725.76,Actual
2024-06-01,2024-06,Canada,9609268.99,3493682.1,1784396.32,45,26,62,14413903.49,3337153.18,7220276.34,4090591.34,Actual
2024-06-01,2024-06,UK,7968398.89,2874122.62,1520968.15,46,26,61,12218211.63,2754540.75,5844049.33,3370827.96,Actual
2024-06-01,2024-06,USA,12494334.88,4536588.8,2390231.56,49,35,55,20407413.64,5850407.63,8317079.47,5253370.76,Actual
2024-07-01,2024-07,Canada,8758854.5,3189624.82,1828098.97,44,35,64,12846319.93,4147785.38,6804532.95,3535477.5,Actual
2024-07-01,2024-07,UK,7828833.91,2850504.74,1497641.83,41,35,57,10699406.34,3675038.62,5415959.01,3313618.96,Actual
2024-07-01,2024-07,USA,12684461.7,4646027.42,2423273.26,40,26,68,16912615.6,4446591.13,10530995.49,5321689.73,Actual
2024-08-01,2024-08,Canada,9190631.44,3321390.4,1831605.53,38,32,66,11641466.49,3933558.94,7307058.88,3843892.63,Actual
2024-08-01,2024-08,UK,7586616.71,2749476.59,1520792.81,44,26,53,11127037.84,2646483.8,4857408.64,3137047.31,Actual
2024-08-01,2024-08,USA,12464412.87,4571749.65,2425050.11,46,25,61,19112099.73,4213966.39,9295890.96,5148704.15,Actual
2024-09-01,2024-09,Canada,9638392.24,3537044.7,1789244.21,39,36,61,12529909.91,4673872.25,7191990.89,4113357.48,Actual
2024-09-01,2024-09,UK,8260646.18,3005073.9,1539234.49,44,28,49,12115614.4,3092059.41,4908287.37,3526257.87,Actual
2024-09-01,2024-09,USA,12569173.26,4583277.69,2405165.72,47,26,66,19691704.77,4389069.39,10083210.92,5248579.28,Actual
2024-10-01,2024-10,Canada,9396973.52,3431251.63,1811407.28,39,36,52,12216065.58,4552239.7,5947502.83,3969016.0,Actual
2024-10-01,2024-10,UK,8179294.73,2997910.1,1531760.6,50,35,47,13632157.88,3854972.59,4696725.82,3446117.58,Actual
2024-10-01,2024-10,USA,13711813.4,4995792.74,2474663.83,40,24,50,18282417.87,4392580.4,8326321.23,5944435.8,Actual
2024-11-01,2024-11,Canada,10019533.92,3691003.13,1790082.6,50,26,47,16699223.2,3509150.36,5782571.57,4276790.77,Actual
2024-11-01,2024-11,UK,8865791.9,3237080.88,1525459.65,47,33,52,13889740.64,3896390.09,5610940.19,3888981.64,Actual
2024-11-01,2024-11,USA,14129523.6,5118819.01,2453109.58,49,35,56,23078221.88,6544347.75,9555128.82,6200424.13,Actual
2024-12-01,2024-12,Canada,10955754.62,3973185.57,1828426.69,40,26,48,14607672.83,3760354.79,6357096.91,4921774.04,Actual
2024-12-01,2024-12,UK,9154365.68,3358199.86,1551034.24,43,25,46,13121257.47,3057005.59,5149239.79,4037688.86,Actual
2024-12-01,2024-12,USA,14323292.71,5231994.33,2452634.31,40,37,69,19097723.61,7057776.14,12033586.96,6326507.28,Actual
2025-01-01,2025-01,Canada,9002499.57,3269426.27,1791927.84,39,28,54,11703249.44,3385957.72,5884967.29,3752376.56,Actual
2025-01-01,2025-01,UK,7691938.97,2813208.82,1551311.47,51,24,59,13076296.25,2498776.89,5532644.01,3112000.85,Actual
2025-01-01,2025-01,USA,12235719.99,4466232.74,2497332.62,52,25,57,21208581.32,4138082.72,8485842.21,4927520.0,Actual
2025-02-01,2025-02,Canada,9047780.31,3305833.68,1834848.02,55,27,68,16587597.24,3305522.96,7493223.01,3631394.1,Actual
2025-02-01,2025-02,UK,7903426.36,2884712.75,1546888.74,47,24,59,12382034.63,2555272.4,5673268.41,3266260.93,Actual
2025-02-01,2025-02,USA,12251840.99,4478670.76,2480531.79,54,22,66,22053313.78,3648169.89,9853075.67,4919495.83,Actual
2025-03-01,2025-03,Canada,9396134.96,3413679.5,1813510.72,54,24,63,16913042.93,3021105.32,7168726.95,3888110.33,Actual
2025-03-01,2025-03,UK,7936962.46,2955614.85,1574672.94,41,29,62,10847182.03,3161531.12,6108270.69,3226716.09,Actual
2025-03-01,2025-03,USA,12713110.16,4644858.97,2483504.85,48,37,57,20340976.26,6341257.26,8825232.04,5272442.41,Actual
2025-04-01,2025-04,Canada,9774140.39,3553663.63,1832370.99,54,28,64,17593452.7,3658795.31,7581149.08,4100142.74,Actual
2025-04-01,2025-04,UK,8328802.2,3034873.48,1566411.8,47,39,64,13048456.78,4352602.59,6474396.76,3523520.92,Actual
2025-04-01,2025-04,USA,13023388.89,4724928.84,2504417.34,54,30,45,23442100.0,5225812.31,7087393.26,5437970.19,Actual
2025-05-01,2025-05,Canada,10152339.4,3735096.65,1816396.01,49,24,69,16582154.35,3278700.68,8590722.3,4316175.65,Actual
2025-05-01,2025-05,UK,8816270.85,3189002.69,1568834.46,47,39,60,13812157.66,4553600.46,6378005.38,3845763.3,Actual
2025-05-01,2025-05,USA,13033713.08,4726574.84,2461110.09,47,37,52,20419483.83,6436516.12,8192729.72,5538559.22,Actual
2025-06-01,2025-06,Canada,10081296.33,3674303.09,1813778.82,43,22,67,14449858.07,2960509.83,8205943.57,4340424.1,Actual
2025-06-01,2025-06,UK,8596257.16,3139660.21,1581239.99,54,37,50,15473262.89,4262286.79,5232767.02,3644018.75,Actual
2025-06-01,2025-06,USA,13539111.94,4922034.22,2523204.44,39,33,47,17600845.52,5969342.62,7711186.94,5827864.53,Actual
2025-07-01,2025-07,Canada,10040132.27,3634481.8,1836060.38,41,27,64,13721514.1,3601524.49,7753561.17,4337754.13,Actual
2025-07-01,2025-07,UK,8351971.01,3054814.52,1548736.55,55,30,60,15311946.85,3364561.83,6109629.04,3503509.32,Actual
2025-07-01,2025-07,USA,13936412.9,5029739.32,2484441.52,41,34,46,19046430.96,6263511.31,7712266.96,6137472.57,Actual
2025-08-01,2025-08,Canada,9880011.5,3564476.05,1868354.27,43,33,67,14161349.82,4331961.59,7960663.18,4214395.24,Actual
2025-08-01,2025-08,UK,8529808.86,3115898.76,1595294.75,51,34,46,14500675.06,3892952.07,4777711.43,3601813.05,Actual
2025-08-01,2025-08,USA,13927721.37,5059257.8,2520923.58,44,39,59,20427324.68,7232475.27,9949873.67,6033855.88,Actual
2025-09-01,2025-09,Canada,10539507.85,3844299.25,1841785.37,49,27,54,17214529.49,3791390.69,6919738.65,4577761.29,Actual
2025-09-01,2025-09,UK,8822718.6,3228759.77,1591258.67,39,37,45,11469534.18,4374647.52,4843139.66,3835658.51,Actual
2025-09-01,2025-09,USA,14135565.41,5107427.14,2452452.85,55,28,66,25915203.25,5224723.2,11236339.71,6149313.89,Actual
2025-10-01,2025-10,Canada,10848470.61,3912255.0,1854902.59,50,28,64,18080784.35,3997686.48,8346144.0,4783308.97,Actual
2025-10-01,2025-10,UK,8868706.69,3242065.98,1563648.08,50,37,59,14781177.82,4384247.9,6376063.09,3834108.94,Actual
2025-10-01,2025-10,USA,14096239.0,5134806.3,2523980.21,42,38,68,19734734.6,7143496.3,11638894.28,6119755.28,Actual
2025-11-01,2025-11,Canada,11126545.78,4050255.37,1892185.38,44,37,45,16318933.81,5462054.02,6075383.06,4945338.5,Actual
2025-11-01,2025-11,UK,9450070.23,3439886.61,1631334.06,49,37,69,15435114.71,4644922.55,7911739.2,4130478.15,Actual
2025-11-01,2025-11,USA,14937967.25,5410874.52,2505777.9,51,36,66,25394544.32,7094436.12,11903923.94,6616109.63,Actual
2025-12-01,2025-12,Canada,11629699.61,4214310.93,1883770.69,38,24,60,14730952.84,3672852.05,8428621.86,5279953.24,Actual
2025-12-01,2025-12,UK,10180515.48,3718489.47,1603235.25,47,36,62,15949474.25,4846963.82,7684878.24,4606539.26,Actual
2025-12-01,2025-12,USA,15941590.7,5787596.36,2517619.51,46,37,68,24443772.41,7759048.32,13118551.75,7242360.31,Actual
