period,entity,region,department,actual_ending_headcount,budget_ending_headcount,headcount_variance,actual_payroll_cost,budget_payroll_cost,payroll_variance
2023-01,UK,International,Sales,8,8.25,-0.25,47604.29,49689.09,-2084.8
2023-01,UK,International,Technology,7,7.32,-0.32,47966.71,52792.03,-4825.32
2023-01,UK,West,G&A,5,5.09,-0.09,27867.32,28677.52,-810.2
2023-01,UK,West,Marketing,6,6.16,-0.16,46444.93,46837.68,-392.75
2023-01,UK,West,Operations,16,16.14,-0.14,101271.53,100859.91,411.62
2023-01,UK,West,Sales,12,12.22,-0.22,89101.6,94096.25,-4994.65
2023-01,UK,West,Technology,10,10.45,-0.45,94292.36,100452.62,-6160.26
2023-01,USA,Central,G&A,7,7.11,-0.11,49417.67,51697.4,-2279.73
2023-01,USA,Central,Marketing,9,9.45,-0.45,73889.35,76579.5,-2690.15
2023-01,USA,Central,Operations,21,21.16,-0.16,146232.76,147071.69,-838.93
2023-01,USA,Central,Sales,16,16.09,-0.09,108161.61,111462.27,-3300.66
2023-01,USA,Central,Technology,13,13.81,-0.81,82636.43,84201.31,-1564.88
2023-01,USA,East,G&A,6,6.1,-0.1,40605.73,40116.89,488.84
2023-01,USA,East,Marketing,9,9.27,-0.27,65218.91,66654.47,-1435.56
2023-01,USA,East,Operations,21,22.78,-1.78,163724.62,164028.13,-303.51
2023-01,USA,East,Sales,16,16.22,-0.22,136314.89,145467.67,-9152.78
2023-01,USA,East,Technology,13,12.84,0.16,110153.63,119658.04,-9504.41
2023-01,USA,International,G&A,5,5.23,-0.23,33602.85,34909.61,-1306.76
2023-01,USA,International,Marketing,7,7.21,-0.21,49806.26,51787.14,-1980.88
2023-01,USA,International,Operations,17,17.31,-0.31,102256.48,101976.92,279.56
2023-01,USA,International,Sales,13,12.96,0.04,79805.74,85371.12,-5565.38
2023-01,USA,International,Technology,12,12.6,-0.6,64584.8,68330.1,-3745.3
2023-01,USA,West,G&A,8,8.89,-0.89,46670.77,49366.92,-2696.15
2023-01,USA,West,Marketing,11,11.44,-0.44,91631.21,95318.19,-3686.98
2023-01,USA,West,Operations,25,25.7,-0.7,203232.13,210714.87,-7482.74
2023-01,USA,West,Sales,18,18.63,-0.63,113806.87,121299.54,-7492.67
2023-01,USA,West,Technology,16,16.73,-0.73,125857.13,130516.39,-4659.26
2023-02,Canada,Central,G&A,5,4.93,0.07,30785.43,32695.67,-1910.24
2023-02,Canada,Central,Marketing,7,7.56,-0.56,60039.3,62499.47,-2460.17
2023-02,Canada,Central,Operations,16,16.64,-0.64,99632.03,109708.74,-10076.71
2023-02,Canada,Central,Sales,12,12.5,-0.5,94876.8,96235.62,-1358.82
2023-02,Canada,Central,Technology,10,10.27,-0.27,69263.41,67747.83,1515.58
2023-02,Canada,East,G&A,5,5.28,-0.28,26609.18,26233.73,375.45
2023-02,Canada,East,Marketing,7,7.03,-0.03,47149.03,50061.77,-2912.74
2023-02,Canada,East,Operations,16,16.5,-0.5,115447.96,117153.43,-1705.47
2023-02,Canada,East,Sales,11,11.38,-0.38,79390.67,75665.45,3725.22
2023-02,Canada,East,Technology,9,8.72,0.28,64368.81,66327.69,-1958.88
2023-02,Canada,International,G&A,4,4.0,0.0,29047.77,31348.43,-2300.66
2023-02,Canada,International,Marketing,5,4.93,0.07,32344.28,31931.47,412.81
2023-02,Canada,International,Operations,14,15.35,-1.35,115182.33,115063.16,119.17
2023-02,Canada,International,Sales,10,10.1,-0.1,79172.42,81720.53,-2548.11
2023-02,Canada,International,Technology,8,8.7,-0.7,55650.34,57941.66,-2291.32
2023-02,Canada,West,G&A,6,5.97,0.03,51088.42,52472.76,-1384.34
2023-02,Canada,West,Marketing,8,8.26,-0.26,56810.49,59082.26,-2271.77
2023-02,Canada,West,Operations,19,19.29,-0.29,116078.76,122618.47,-6539.71
2023-02,Canada,West,Sales,14,14.79,-0.79,128787.16,132725.77,-3938.61
2023-02,Canada,West,Technology,11,11.35,-0.35,77416.66,81196.4,-3779.74
2023-02,UK,Central,G&A,5,4.96,0.04,36904.71,39506.79,-2602.08
2023-02,UK,Central,Marketing,6,6.39,-0.39,38601.4,38235.87,365.53
2023-02,UK,Central,Operations,13,13.54,-0.54,125812.79,125961.1,-148.31
2023-02,UK,Central,Sales,10,10.77,-0.77,73446.24,76565.84,-3119.6
2023-02,UK,Central,Technology,8,8.01,-0.01,61226.18,61556.1,-329.92
2023-02,UK,East,G&A,4,4.23,-0.23,35646.36,37153.33,-1506.97
2023-02,UK,East,Marketing,6,5.91,0.09,40303.73,41160.26,-856.53
2023-02,UK,East,Operations,13,13.31,-0.31,86846.51,88519.92,-1673.41
2023-02,UK,East,Sales,10,9.69,0.31,78620.1,81717.58,-3097.48
2023-02,UK,East,Technology,8,8.14,-0.14,56396.62,58942.34,-2545.72
2023-02,UK,International,G&A,3,2.94,0.06,25044.58,24943.92,100.66
2023-02,UK,International,Marketing,5,5.08,-0.08,36802.08,37149.3,-347.22
2023-02,UK,International,Operations,12,12.65,-0.65,81334.04,84766.35,-3432.31
2023-02,UK,International,Sales,8,8.19,-0.19,46741.18,50736.87,-3995.69
2023-02,UK,International,Technology,7,6.95,0.05,54125.12,55893.37,-1768.25
2023-02,UK,West,G&A,5,5.2,-0.2,32082.11,33362.69,-1280.58
2023-02,UK,West,Marketing,6,6.03,-0.03,41203.53,42401.47,-1197.94
2023-02,UK,West,Operations,17,18.01,-1.01,129376.32,130428.61,-1052.29
2023-02,UK,West,Sales,12,12.44,-0.44,80927.59,80633.85,293.74
2023-02,UK,West,Technology,9,9.29,-0.29,56317.81,59378.11,-3060.3
2023-02,USA,Central,G&A,6,6.0,0.0,45942.84,48618.53,-2675.69
2023-02,USA,Central,Marketing,10,9.95,0.05,65033.77,66018.6,-984.83
2023-02,USA,Central,Operations,20,19.58,0.42,157781.58,155644.17,2137.41
2023-02,USA,Central,Sales,17,17.19,-0.19,144304.03,151064.06,-6760.03
2023-02,USA,Central,Technology,14,14.44,-0.44,97470.96,92782.9,4688.06
2023-02,USA,East,G&A,6,6.12,-0.12,38990.94,41889.56,-2898.62
2023-02,USA,East,Marketing,9,9.24,-0.24,70572.56,71804.27,-1231.71
2023-02,USA,East,Operations,20,20.31,-0.31,93893.11,92479.36,1413.75
2023-02,USA,East,Sales,15,15.97,-0.97,92999.83,92480.32,519.51
2023-02,USA,East,Technology,13,12.66,0.34,99518.61,101371.76,-1853.15
2023-02,USA,International,G&A,6,6.21,-0.21,37581.48,38006.92,-425.44
2023-02,USA,International,Marketing,8,8.05,-0.05,52660.36,55856.51,-3196.15
2023-02,USA,International,Operations,17,17.05,-0.05,111053.96,108825.6,2228.36
2023-02,USA,International,Sales,13,13.14,-0.14,107093.93,108491.58,-1397.65
2023-02,USA,International,Technology,11,10.87,0.13,71715.84,73821.31,-2105.47
2023-02,USA,West,G&A,8,8.45,-0.45,53384.8,57883.3,-4498.5
2023-02,USA,West,Marketing,11,11.22,-0.22,88190.09,90856.36,-2666.27
2023-02,USA,West,Operations,25,26.71,-1.71,178413.31,182938.59,-4525.28
2023-02,USA,West,Sales,20,21.02,-1.02,139130.9,147891.75,-8760.85
2023-02,USA,West,Technology,15,15.12,-0.12,131300.97,137880.59,-6579.62
2023-03,Canada,Central,G&A,5,5.27,-0.27,25725.24,25671.43,53.81
2023-03,Canada,Central,Marketing,7,6.66,0.34,41014.24,42068.0,-1053.76
2023-03,Canada,Central,Operations,16,16.53,-0.53,78228.92,78528.51,-299.59
2023-03,Canada,Central,Sales,13,12.93,0.07,93350.06,95101.05,-1750.99
2023-03,Canada,Central,Technology,10,10.25,-0.25,71966.26,71660.76,305.5
2023-03,Canada,East,G&A,5,5.46,-0.46,39426.44,41334.69,-1908.25
2023-03,Canada,East,Marketing,7,7.3,-0.3,57593.95,59898.65,-2304.7
2023-03,Canada,East,Operations,15,15.75,-0.75,119502.2,129122.68,-9620.48
2023-03,Canada,East,Sales,11,11.48,-0.48,85274.01,89637.68,-4363.67
2023-03,Canada,East,Technology,10,10.52,-0.52,79715.9,81535.76,-1819.86
2023-03,Canada,International,G&A,4,4.21,-0.21,27885.04,28060.93,-175.89
2023-03,Canada,International,Marketing,6,5.94,0.06,43798.75,43558.12,240.63
2023-03,Canada,International,Operations,14,13.71,0.29,90339.04,91862.76,-1523.72
2023-03,Canada,International,Sales,9,9.72,-0.72,59302.5,64181.82,-4879.32
2023-03,Canada,International,Technology,8,8.42,-0.42,57001.1,59851.98,-2850.88
2023-03,Canada,West,G&A,6,6.18,-0.18,48853.15,49468.0,-614.85
2023-03,Canada,West,Marketing,8,8.41,-0.41,56706.28,58954.33,-2248.05
2023-03,Canada,West,Operations,20,21.54,-1.54,142113.23,143014.49,-901.26
2023-03,Canada,West,Sales,14,13.52,0.48,114586.5,116615.96,-2029.46
2023-03,Canada,West,Technology,11,11.4,-0.4,53755.54,55967.42,-2211.88
2023-03,UK,Central,G&A,4,4.03,-0.03,29060.5,31743.35,-2682.85
2023-03,UK,Central,Marketing,6,6.3,-0.3,50012.09,49113.79,898.3
2023-03,UK,Central,Operations,14,13.88,0.12,102615.06,106753.63,-4138.57
2023-03,UK,Central,Sales,10,10.37,-0.37,58192.37,59759.25,-1566.88
2023-03,UK,Central,Technology,8,8.1,-0.1,51066.86,54405.16,-3338.3
2023-03,UK,East,G&A,4,4.34,-0.34,30038.4,31297.82,-1259.42
2023-03,UK,East,Marketing,6,6.2,-0.2,42391.02,44374.28,-1983.26
2023-03,UK,East,Operations,13,14.06,-1.06,102630.65,105977.64,-3346.99
2023-03,UK,East,Sales,11,11.61,-0.61,65702.3,67010.29,-1307.99
2023-03,UK,East,Technology,8,9.0,-1.0,67622.34,68051.55,-429.21
2023-03,UK,International,G&A,4,4.09,-0.09,18883.72,19714.25,-830.53
2023-03,UK,International,Marketing,5,5.27,-0.27,42745.55,42511.97,233.58
2023-03,UK,International,Operations,11,10.7,0.3,77314.19,79370.02,-2055.83
2023-03,UK,International,Sales,8,8.2,-0.2,44841.4,47984.66,-3143.26
2023-03,UK,International,Technology,7,7.11,-0.11,56483.11,60729.93,-4246.82
2023-03,UK,West,G&A,5,5.37,-0.37,42745.31,44907.89,-2162.58
2023-03,UK,West,Marketing,6,5.95,0.05,43728.26,43132.65,595.61
2023-03,UK,West,Operations,16,15.59,0.41,97252.86,103049.26,-5796.4
2023-03,UK,West,Sales,12,11.9,0.1,85313.59,89795.34,-4481.75
2023-03,UK,West,Technology,10,10.42,-0.42,68249.77,68758.45,-508.68
2023-03,USA,Central,G&A,7,7.15,-0.15,43935.98,44442.29,-506.31
2023-03,USA,Central,Marketing,10,10.08,-0.08,68342.79,69476.66,-1133.87
2023-03,USA,Central,Operations,22,22.96,-0.96,170318.34,170886.53,-568.19
2023-03,USA,Central,Sales,16,16.19,-0.19,131120.54,138370.76,-7250.22
2023-03,USA,Central,Technology,13,13.1,-0.1,101866.29,106348.35,-4482.06
2023-03,USA,East,G&A,6,6.27,-0.27,48771.39,47947.96,823.43
2023-03,USA,East,Marketing,9,9.31,-0.31,61886.49,63249.4,-1362.91
2023-03,USA,East,Operations,21,21.33,-0.33,129699.36,135496.3,-5796.94
2023-03,USA,East,Sales,15,15.73,-0.73,94538.56,100512.3,-5973.74
2023-03,USA,East,Technology,13,13.27,-0.27,95597.25,89998.12,5599.13
2023-03,USA,International,G&A,5,5.21,-0.21,42541.35,43388.92,-847.57
2023-03,USA,International,Marketing,8,8.38,-0.38,66684.68,70465.27,-3780.59
2023-03,USA,International,Operations,17,17.09,-0.09,114493.46,118831.42,-4337.96
2023-03,USA,International,Sales,13,13.31,-0.31,96000.66,98581.22,-2580.56
2023-03,USA,International,Technology,10,10.58,-0.58,69128.14,71013.63,-1885.49
2023-03,USA,West,G&A,8,8.22,-0.22,69866.84,66482.96,3383.88
2023-03,USA,West,Marketing,10,10.15,-0.15,59969.5,62638.82,-2669.32
2023-03,USA,West,Operations,24,24.39,-0.39,161291.67,168067.56,-6775.89
2023-03,USA,West,Sales,19,19.91,-0.91,153333.71,155191.17,-1857.46
2023-03,USA,West,Technology,15,15.83,-0.83,98086.68,99167.73,-1081.05
2023-04,Canada,Central,G&A,5,5.3,-0.3,36696.83,38994.58,-2297.75
2023-04,Canada,Central,Marketing,7,6.98,0.02,50057.65,47595.24,2462.41
2023-04,Canada,Central,Operations,16,16.13,-0.13,80332.13,80317.77,14.36
2023-04,Canada,Central,Sales,12,11.83,0.17,90201.87,90995.26,-793.39
2023-04,Canada,Central,Technology,10,10.46,-0.46,65975.8,66753.31,-777.51
2023-04,Canada,East,G&A,5,5.21,-0.21,41138.24,42734.8,-1596.56
2023-04,Canada,East,Marketing,6,6.27,-0.27,39465.57,42607.72,-3142.15
2023-04,Canada,East,Operations,15,15.49,-0.49,120618.69,126225.99,-5607.3
2023-04,Canada,East,Sales,11,11.13,-0.13,85552.09,90061.07,-4508.98
2023-04,Canada,East,Technology,9,9.16,-0.16,67693.02,70367.91,-2674.89
2023-04,Canada,International,G&A,4,4.36,-0.36,28008.11,28300.57,-292.46
2023-04,Canada,International,Marketing,6,6.14,-0.14,48650.19,48929.74,-279.55
2023-04,Canada,International,Operations,13,13.45,-0.45,83412.03,80603.0,2809.03
2023-04,Canada,International,Sales,9,9.6,-0.6,53299.41,54639.33,-1339.92
2023-04,Canada,International,Technology,8,7.84,0.16,59551.45,62112.48,-2561.03
2023-04,Canada,West,G&A,6,5.99,0.01,43316.67,45579.24,-2262.57
2023-04,Canada,West,Marketing,8,8.12,-0.12,42886.52,43118.55,-232.03
2023-04,Canada,West,Operations,18,18.73,-0.73,120284.06,119819.33,464.73
2023-04,Canada,West,Sales,13,13.68,-0.68,102477.45,105377.02,-2899.57
2023-04,Canada,West,Technology,12,12.29,-0.29,84274.44,85990.49,-1716.05
2023-04,UK,Central,G&A,4,4.08,-0.08,35716.45,37335.24,-1618.79
2023-04,UK,Central,Marketing,6,6.0,0.0,44173.73,44291.38,-117.65
2023-04,UK,Central,Operations,14,14.49,-0.49,109830.77,113131.92,-3301.15
2023-04,UK,Central,Sales,10,10.88,-0.88,60009.8,61427.83,-1418.03
2023-04,UK,Central,Technology,9,9.68,-0.68,77837.29,76096.43,1740.86
2023-04,UK,East,G&A,4,4.22,-0.22,26311.64,27547.24,-1235.6
2023-04,UK,East,Marketing,6,6.41,-0.41,35380.13,36074.83,-694.7
2023-04,UK,East,Operations,13,13.09,-0.09,73444.15,76390.98,-2946.83
2023-04,UK,East,Sales,9,9.04,-0.04,54336.36,57135.35,-2798.99
2023-04,UK,East,Technology,8,7.72,0.28,64303.29,68805.09,-4501.8
2023-04,UK,International,G&A,3,3.11,-0.11,22722.29,23406.59,-684.3
2023-04,UK,International,Marketing,5,4.71,0.29,39221.63,40803.01,-1581.38
2023-04,UK,International,Operations,11,11.28,-0.28,78382.36,79857.93,-1475.57
2023-04,UK,International,Sales,8,8.46,-0.46,68233.84,69775.8,-1541.96
2023-04,UK,International,Technology,7,7.47,-0.47,56421.92,56866.97,-445.05
2023-04,UK,West,G&A,5,4.94,0.06,40894.23,42430.47,-1536.24
2023-04,UK,West,Marketing,7,7.22,-0.22,54363.55,56100.72,-1737.17
2023-04,UK,West,Operations,14,14.57,-0.57,117626.71,116401.14,1225.57
2023-04,UK,West,Sales,12,11.9,0.1,97511.57,101281.0,-3769.43
2023-04,UK,West,Technology,10,10.14,-0.14,58796.69,59415.97,-619.28
2023-04,USA,Central,G&A,7,7.13,-0.13,49800.55,51422.87,-1622.32
2023-04,USA,Central,Marketing,10,10.14,-0.14,69105.71,73654.2,-4548.49
2023-04,USA,Central,Operations,23,22.64,0.36,199137.28,200324.77,-1187.49
2023-04,USA,Central,Sales,17,17.04,-0.04,124671.49,137374.52,-12703.03
2023-04,USA,Central,Technology,13,13.82,-0.82,91711.29,93090.05,-1378.76
2023-04,USA,East,G&A,7,7.09,-0.09,39316.49,38949.88,366.61
2023-04,USA,East,Marketing,8,8.17,-0.17,64565.49,64625.92,-60.43
2023-04,USA,East,Operations,21,20.45,0.55,152406.22,156740.87,-4334.65
2023-04,USA,East,Sales,16,16.14,-0.14,105508.98,113838.28,-8329.3
2023-04,USA,East,Technology,13,13.77,-0.77,106686.93,110388.81,-3701.88
2023-04,USA,International,G&A,6,5.93,0.07,38887.99,40947.52,-2059.53
2023-04,USA,International,Marketing,8,8.73,-0.73,62717.57,65238.09,-2520.52
2023-04,USA,International,Operations,16,15.96,0.04,117441.48,121109.44,-3667.96
2023-04,USA,International,Sales,13,13.22,-0.22,98297.16,103978.14,-5680.98
2023-04,USA,International,Technology,10,9.99,0.01,80176.01,84542.6,-4366.59
2023-04,USA,West,G&A,8,8.22,-0.22,62705.01,62204.38,500.63
2023-04,USA,West,Marketing,12,12.44,-0.44,86520.61,88907.47,-2386.86
2023-04,USA,West,Operations,25,26.44,-1.44,193433.76,206164.11,-12730.35
2023-04,USA,West,Sales,18,18.89,-0.89,95201.27,100858.32,-5657.05
2023-04,USA,West,Technology,14,14.26,-0.26,98257.64,99879.74,-1622.1
2023-05,Canada,Central,G&A,5,5.13,-0.13,39870.83,40218.7,-347.87
2023-05,Canada,Central,Marketing,7,6.87,0.13,49359.98,51786.78,-2426.8
2023-05,Canada,Central,Operations,16,16.75,-0.75,119951.41,123980.79,-4029.38
2023-05,Canada,Central,Sales,12,12.56,-0.56,69852.0,73296.42,-3444.42
2023-05,Canada,Central,Technology,10,10.12,-0.12,81226.21,86478.16,-5251.95
2023-05,Canada,East,G&A,5,5.28,-0.28,34159.97,35076.16,-916.19
2023-05,Canada,East,Marketing,7,6.95,0.05,49901.53,50191.7,-290.17
2023-05,Canada,East,Operations,15,15.23,-0.23,92921.59,92184.91,736.68
2023-05,Canada,East,Sales,11,11.64,-0.64,81703.48,81966.83,-263.35
2023-05,Canada,East,Technology,9,9.15,-0.15,72355.91,73771.77,-1415.86
2023-05,Canada,International,G&A,4,4.01,-0.01,26523.22,26599.27,-76.05
2023-05,Canada,International,Marketing,6,6.23,-0.23,48404.18,50514.64,-2110.46
2023-05,Canada,International,Operations,13,13.47,-0.47,92455.8,99573.79,-7117.99
2023-05,Canada,International,Sales,10,9.97,0.03,75624.46,77905.83,-2281.37
2023-05,Canada,International,Technology,8,7.77,0.23,50825.26,50898.78,-73.52
2023-05,Canada,West,G&A,6,6.42,-0.42,53013.48,54941.22,-1927.74
2023-05,Canada,West,Marketing,8,7.89,0.11,65984.23,67768.37,-1784.14
2023-05,Canada,West,Operations,17,17.36,-0.36,127150.33,128885.17,-1734.84
2023-05,Canada,West,Sales,13,13.23,-0.23,84176.8,89447.88,-5271.08
2023-05,Canada,West,Technology,12,12.27,-0.27,94181.25,93934.44,246.81
2023-05,UK,Central,G&A,4,4.1,-0.1,30674.44,30916.32,-241.88
2023-05,UK,Central,Marketing,6,6.19,-0.19,45168.85,47171.83,-2002.98
2023-05,UK,Central,Operations,13,13.33,-0.33,86464.14,90359.55,-3895.41
2023-05,UK,Central,Sales,10,10.24,-0.24,63513.33,62592.79,920.54
2023-05,UK,Central,Technology,9,9.51,-0.51,82328.21,87657.57,-5329.36
2023-05,UK,East,G&A,4,3.88,0.12,26540.41,26835.65,-295.24
2023-05,UK,East,Marketing,6,6.25,-0.25,33837.66,36664.76,-2827.1
2023-05,UK,East,Operations,12,12.16,-0.16,86836.63,89528.67,-2692.04
2023-05,UK,East,Sales,10,10.17,-0.17,81099.87,86249.26,-5149.39
2023-05,UK,East,Technology,8,8.09,-0.09,61564.13,59802.81,1761.32
2023-05,UK,International,G&A,3,2.91,0.09,22140.25,22679.49,-539.24
2023-05,UK,International,Marketing,5,5.13,-0.13,31065.19,32351.81,-1286.62
2023-05,UK,International,Operations,11,10.35,0.65,86984.35,91363.41,-4379.06
2023-05,UK,International,Sales,9,9.29,-0.29,57104.66,57564.33,-459.67
2023-05,UK,International,Technology,7,7.02,-0.02,55962.43,57934.9,-1972.47
2023-05,UK,West,G&A,5,5.21,-0.21,43596.71,46881.44,-3284.73
2023-05,UK,West,Marketing,6,6.31,-0.31,43919.1,43796.42,122.68
2023-05,UK,West,Operations,16,15.23,0.77,108360.62,111796.94,-3436.32
2023-05,UK,West,Sales,11,11.02,-0.02,95762.6,96395.51,-632.91
2023-05,UK,West,Technology,9,9.18,-0.18,84676.9,83035.95,1640.95
2023-05,USA,Central,G&A,7,7.28,-0.28,58476.46,59467.83,-991.37
2023-05,USA,Central,Marketing,10,9.65,0.35,78084.91,78089.48,-4.57
2023-05,USA,Central,Operations,22,22.66,-0.66,154169.19,163211.43,-9042.24
2023-05,USA,Central,Sales,17,17.68,-0.68,122718.3,125232.9,-2514.6
2023-05,USA,Central,Technology,12,12.48,-0.48,70814.35,71183.41,-369.06
2023-05,USA,East,G&A,6,6.05,-0.05,54427.45,54986.69,-559.24
2023-05,USA,East,Marketing,9,9.23,-0.23,69360.13,67896.37,1463.76
2023-05,USA,East,Operations,20,19.78,0.22,118028.01,120700.81,-2672.8
2023-05,USA,East,Sales,16,17.04,-1.04,117164.55,118739.32,-1574.77
2023-05,USA,East,Technology,13,13.5,-0.5,111751.12,112099.24,-348.12
2023-05,USA,International,G&A,5,5.07,-0.07,35322.37,35865.7,-543.33
2023-05,USA,International,Marketing,8,8.19,-0.19,70728.18,71046.78,-318.6
2023-05,USA,International,Operations,17,17.38,-0.38,108942.02,108349.42,592.6
2023-05,USA,International,Sales,13,14.47,-1.47,79061.34,80821.26,-1759.92
2023-05,USA,International,Technology,11,10.66,0.34,65819.68,69683.01,-3863.33
2023-05,USA,West,G&A,8,8.45,-0.45,53811.61,55391.01,-1579.4
2023-05,USA,West,Marketing,11,11.17,-0.17,79990.58,84033.88,-4043.3
2023-05,USA,West,Operations,25,25.35,-0.35,232666.26,242887.06,-10220.8
2023-05,USA,West,Sales,19,19.92,-0.92,157591.44,164878.34,-7286.9
2023-05,USA,West,Technology,15,14.98,0.02,120642.84,125457.68,-4814.84
2023-06,Canada,Central,G&A,6,6.05,-0.05,41296.61,42159.32,-862.71
2023-06,Canada,Central,Marketing,7,7.19,-0.19,46744.97,48218.66,-1473.69
2023-06,Canada,Central,Operations,16,16.4,-0.4,112128.53,114323.63,-2195.1
2023-06,Canada,Central,Sales,12,12.18,-0.18,70680.89,76111.53,-5430.64
2023-06,Canada,Central,Technology,10,10.26,-0.26,60881.99,64585.67,-3703.68
2023-06,Canada,East,G&A,5,5.33,-0.33,36719.26,38587.69,-1868.43
2023-06,Canada,East,Marketing,7,7.26,-0.26,42658.69,45147.59,-2488.9
2023-06,Canada,East,Operations,17,17.75,-0.75,116021.44,122502.93,-6481.49
2023-06,Canada,East,Sales,12,12.37,-0.37,106009.32,105637.85,371.47
2023-06,Canada,East,Technology,9,8.57,0.43,66475.75,67746.54,-1270.79
2023-06,Canada,International,G&A,4,4.11,-0.11,22752.92,22631.21,121.71
2023-06,Canada,International,Marketing,6,6.36,-0.36,39495.95,42282.9,-2786.95
2023-06,Canada,International,Operations,12,12.19,-0.19,92701.08,94253.17,-1552.09
2023-06,Canada,International,Sales,9,9.15,-0.15,75262.9,80789.06,-5526.16
2023-06,Canada,International,Technology,9,9.27,-0.27,62051.38,65818.92,-3767.54
2023-06,Canada,West,G&A,6,6.31,-0.31,35557.74,34678.8,878.94
2023-06,Canada,West,Marketing,8,8.62,-0.62,46297.61,46555.18,-257.57
2023-06,Canada,West,Operations,19,18.88,0.12,133092.86,141319.43,-8226.57
2023-06,Canada,West,Sales,13,12.93,0.07,63845.81,65590.8,-1744.99
2023-06,Canada,West,Technology,12,12.44,-0.44,108942.54,110131.99,-1189.45
2023-06,UK,Central,G&A,4,4.07,-0.07,29658.81,31453.07,-1794.26
2023-06,UK,Central,Marketing,6,6.13,-0.13,41453.89,42239.43,-785.54
2023-06,UK,Central,Operations,13,13.36,-0.36,77242.44,82626.97,-5384.53
2023-06,UK,Central,Sales,10,10.25,-0.25,71710.33,75474.06,-3763.73
2023-06,UK,Central,Technology,9,9.33,-0.33,72587.02,76801.68,-4214.66
2023-06,UK,East,G&A,4,4.17,-0.17,27676.33,28095.97,-419.64
2023-06,UK,East,Marketing,6,6.23,-0.23,40537.26,43775.33,-3238.07
2023-06,UK,East,Operations,14,13.76,0.24,86564.33,87620.94,-1056.61
2023-06,UK,East,Sales,10,10.32,-0.32,70298.48,74633.86,-4335.38
2023-06,UK,East,Technology,9,9.43,-0.43,50574.54,53838.33,-3263.79
2023-06,UK,International,G&A,3,3.14,-0.14,24449.49,25015.47,-565.98
2023-06,UK,International,Marketing,5,5.26,-0.26,36023.14,36809.61,-786.47
2023-06,UK,International,Operations,11,10.74,0.26,84318.3,87736.25,-3417.95
2023-06,UK,International,Sales,8,8.55,-0.55,52068.07,53984.74,-1916.67
2023-06,UK,International,Technology,7,7.12,-0.12,54189.95,55708.69,-1518.74
2023-06,UK,West,G&A,5,5.14,-0.14,38343.9,40840.13,-2496.23
2023-06,UK,West,Marketing,7,7.33,-0.33,48830.54,52169.11,-3338.57
